,Player,Team,Number,Position,Height,Weight,Last Attended,Country
148,Kevin Durant,PHX,35,F,6-11,240 lbs,Texas,USA
149,Jalen Duren,DET,0,C,6-10,250 lbs,Memphis,USA
150,Tari Eason,HOU,17,F,6-8,215 lbs,Louisiana State,USA
151,Zach Edey,MEM,,C,7-4,305 lbs,Purdue,Canada
152,Anthony Edwards,MIN,5,G,6-4,225 lbs,Georgia,USA
153,Jesse Edwards,MIN,,C,6-11,230 lbs,West Virginia,Netherlands
154,Justin Edwards,PHI,,F,6-8,203 lbs,Kentucky,USA
155,Kessler Edwards,DAL,17,F,6-7,203 lbs,Pepperdine,USA
156,Keon Ellis,SAC,23,G,6-3,175 lbs,Alabama,USA
157,Joel Embiid,PHI,21,C-F,7-0,280 lbs,Kansas,Cameroon
158,Tristan Enaruna,BOS,,F,6-8,220 lbs,Cleveland State,Netherlands
159,Drew Eubanks,UTA,14,F-C,6-10,245 lbs,Oregon State,USA
160,Tosan Evbuomwan,DET,18,F,6-7,217 lbs,Princeton,United Kingdom
161,Dante Exum,DAL,0,G,6-5,214 lbs,Australian Institute of Sport,Australia
162,Bruno Fernando,TOR,24,F-C,6-9,240 lbs,Maryland,Angola
163,Kyle Filipowski,UTA,22,C,7-0,250 lbs,Duke,USA
164,Dorian Finney-Smith,BKN,28,F,6-7,220 lbs,Florida,USA
165,Adam Flagler,OKC,14,G,6-3,180 lbs,Baylor,USA
166,Trentyn Flowers,LAC,,F,6-9,185 lbs,Adelaide,USA
167,Malachi Flynn,SAS,18,G,6-1,185 lbs,San Diego State,USA
168,Simone Fontecchio,DET,19,F,6-7,209 lbs,Baskonia,Italy
169,Jordan Ford,SAC,31,G,6-1,175 lbs,St. Mary's College,USA
170,Trent Forrest,ATL,2,G,6-4,210 lbs,Florida State,USA
171,De'Aaron Fox,SAC,5,G,6-3,185 lbs,Kentucky,USA
172,Enrique Freeman,IND,8,F,6-7,206 lbs,Akron,USA
173,Johnny Furphy,IND,12,G,6-9,200 lbs,Kansas,Australia
174,Daniel Gafford,DAL,21,F-C,6-10,234 lbs,Arkansas,USA
175,Danilo Gallinari,MIL,12,F,6-10,236 lbs,Olimpia Milano,Italy
176,Darius Garland,CLE,10,G,6-1,192 lbs,Vanderbilt,USA
177,Usman Garuba,GSW,12,F,6-8,229 lbs,Real Madrid,Spain
178,Luka Garza,MIN,55,C,6-10,243 lbs,Iowa,USA
179,Keyonte George,UTA,3,G,6-4,185 lbs,Baylor,USA
180,Kyshawn George,WAS,18,F,6-8,200 lbs,Miami,Switzerland
181,Paul George,PHI,8,F,6-8,220 lbs,Fresno State,USA
182,Taj Gibson,CHA,67,F,6-9,232 lbs,Southern California,USA
183,Josh Giddey,CHI,3,G,6-8,216 lbs,NBA Global Academy,Australia
184,Harry Giles III,LAL,20,F-C,6-10,240 lbs,Duke,USA
185,Shai Gilgeous-Alexander,OKC,2,G,6-6,195 lbs,Kentucky,Canada
186,Anthony Gill,WAS,16,F,6-8,230 lbs,Virginia,USA
187,Collin Gillespie,PHX,21,G,6-1,195 lbs,Villanova,USA
188,Rudy Gobert,MIN,27,C,7-1,258 lbs,Cholet,France
189,Jordan Goodwin,MEM,0,G,6-4,200 lbs,St. Louis,USA
190,Aaron Gordon,DEN,32,F,6-8,235 lbs,Arizona,USA
191,Eric Gordon,PHI,23,G,6-3,215 lbs,Indiana,USA
192,Jazian Gortman,DAL,,G,6-2,184 lbs,Overtime Elite,USA
193,Devonte' Graham,POR,4,G,6-1,195 lbs,Kansas,USA
194,Jerami Grant,POR,9,F,6-7,210 lbs,Syracuse,USA
195,AJ Green,MIL,20,G,6-4,190 lbs,Northern Iowa,USA
196,Draymond Green,GSW,23,F,6-6,230 lbs,Michigan State,USA
197,Jalen Green,HOU,4,G,6-4,186 lbs,NBA G League Ignite,USA
198,Javonte Green,NOP,24,G,6-5,205 lbs,Radford,USA
199,Jeff Green,HOU,32,F,6-8,235 lbs,Georgetown,USA
200,Josh Green,CHA,8,G,6-5,200 lbs,Arizona,Australia
201,AJ Griffin,HOU,14,F,6-6,220 lbs,Duke,USA
202,Quentin Grimes,DAL,5,G,6-5,210 lbs,Houston,USA
203,Mouhamed Gueye,ATL,18,F,6-10,210 lbs,Washington State,Senegal
204,Rui Hachimura,LAL,28,F,6-8,230 lbs,Gonzaga,Japan
205,Ashton Hagans,POR,19,G-F,6-3,190 lbs,Kentucky,USA
206,Tyrese Haliburton,IND,0,G,6-5,185 lbs,Iowa State,USA
207,PJ Hall,DEN,25,C,6-10,245 lbs,Clemson,USA
208,Tim Hardaway Jr.,DET,10,G-F,6-5,205 lbs,Michigan,USA
209,James Harden,LAC,1,G,6-5,220 lbs,Arizona State,USA
210,Jaden Hardy,DAL,1,G,6-3,198 lbs,NBA G League Ignite,USA
211,Ron Harper Jr.,BOS,8,G-F,6-4,233 lbs,Rutgers,USA
212,Gary Harris,ORL,14,G,6-4,210 lbs,Michigan State,USA
213,Tobias Harris,DET,12,F,6-8,226 lbs,Tennessee,USA
214,Josh Hart,NYK,3,G,6-4,215 lbs,Villanova,USA
215,Isaiah Hartenstein,OKC,55,C-F,7-0,250 lbs,Zalgiris,Germany
216,Sam Hauser,BOS,30,F,6-7,217 lbs,Virginia,USA
217,Jordan Hawkins,NOP,24,G,6-5,190 lbs,Connecticut,USA
218,Jaxson Hayes,LAL,11,C-F,7-0,220 lbs,Texas,USA
219,Scoot Henderson,POR,00,G,6-3,202 lbs,NBA G League Ignite,USA
220,Taylor Hendricks,UTA,0,F,6-9,215 lbs,Central Florida,USA
221,Tyler Herro,MIA,14,G,6-5,195 lbs,Kentucky,USA
222,Buddy Hield,GSW,7,G,6-4,220 lbs,Oklahoma,Bahamas
223,Haywood Highsmith,MIA,24,F,6-5,220 lbs,Wheeling Jesuit,USA
